ID,French Word
1,bien-être
2,après
3,avant
4,jeu de société
5,travaux manuels,artisanat
6,bricolage
7,manger au restaurant
8,s’inscrire à
9,jardinage
10,jardinerie
11,randonner,faire de la randonnée
12,la nature
13,se reposer,se détendre
14,abonnement
15,couture
16,abonnement
17,un sentier bien balisé
18,faire de l’exercice
19,sauvegarder un fichier
20,un revêtement résistant aux éraflures
21,appareil de poche,appareil portable
22,glisser-déposer
23,matériel informatique en état de marche
24,suivi,surveillance
25,tapis de souris
26,pile rechargeable
27,logiciel antivirus
28,faire défiler,glisser à gauche,glisser à droite
29,intuitif,convivial
30,messagerie vocale
31,le réseau est en panne
32,une police de caractères facile à lire
33,trait d’union
34,fournisseur d’accès Internet,FAI
35,mettre en ligne
36,télécharger
37,réseautage
38,protégé par un mot de passe
39,se connecter
57,se déconnecter
40,barre oblique
41,tiret bas
42,mise à jour,mettre à jour
43,identifiant,nom d’utilisateur
44,centre d’appels
45,tomber en panne
46,urgence
47,service d’assistance
48,externaliser
49,redémarrer
50,rendez-vous
51,tension artérielle
52,bilan sanguin
53,bilan de routine
54,médecin généraliste
55,mal de tête
56,mutuelle de santé
