id,translation
1,faisabilité
2,épanouissant, gratifiant
3,lancer
4,commercialisable, monnayable
5,étude de marché
6,dominer le marché
7,tromper, induire en erreur
8,changement de direction
9,un sondage
10,une gamme complète
11,classer
12,en avance/en retard sur le planning/dans les délais
13,mettre en avant
14,cible, cibler
15,chaîne de montage
16,génie civil
17,usine
18,contremaître
19,chariot élévateur
20,tout équipé
21,casque de chantier
22,gilet fluo
23,affiner ses compétences
24,matériel de laboratoire
25,une échelle
26,équipe d’entretien
27,superviseur, contremaître
28,centrale électrique
29,réparateur
30,en mauvais état, délabrement
31,danger
32,filet de sécurité
33,travailler par équipes, faire les 3/8
34,pelle, déblayer
35,être en travaux
36,service public (eau, électricité, gaz)
37,parmi
38,pâté de maisons
39,mairie
40,passage piéton
41,carrefour
42,bureau des objets trouvés
43,maire adjoint
44,communiqué de presse
45,travaux routiers, de voirie
46,panneau
47,balayeur; balai mécanique
48,circulation dense
49,à deux pas
50,moquette
51,clôture
52,portail
53,propriétaire, logeur
54,tondeuse
55,lotissement
56,brouette
