ID,English Word
1,well-being
2,afterward
3,beforehand
4,board game
5,crafts
6,DIY,do it yourself
7,to eat out
8,to enrol in
9,gardening
10,garden center
11,to hike
12,the outdoors
13,to relax
14,season ticket
15,sewing
16,subscription
17,a well indicated trail
18,to work out
19,to back up a file
20,scratch resistant coating
21,a hand-held device
22,drag and drop
23,functional hardware
24,monitoring
25,mousepad
26,rechargeable battery
27,antivirus software
28,swipe left,swipe right
29,user-friendly
30,voicemail
31,the network is down
32,an easy-to-read font
33,hyphen
34,Internet service provider (ISP)
35,upload
36,download
37,networking
38,password-protected
39,sign in
57,sign out
40,slash
41,underscore
42,update
43,username
44,call center
45,crash
46,emergency
47,helpdesk
48,outsource
49,reboot
50,appointment
51,blood pressure
52,blood test
53,a routine checkup
54,GP,general practitioner
55,headache
56,health insurance
